Ref,Message Intent,Message Element,Resp,
UM  169at,Instruction  to  transmit  voice  position  reports  due to the failure of ADS-C.,ADS-C  SHUT  DOWN  AT  [facility  designation].   REVERT  TO  VOICE  POSITION  REPORTS.   LEAVE ADS-C ARMED.,R,
UM  169aw,Instruction  to  advise  that  CPDLC  and  voice  position  reports  are  not  required  due  to  ADS-C resuming operations.,RESUME NORMAL ADS-C  OPERATIONS.  CPDLC  AND  VOICE  POSITION  REPORTS  NOT  REQUIRED,R,
UM  169ax,Instruction  to  continue  on  voice  due  to  the  failure of CPDLC.,CPDLC  WILL  BE  SHUT  DOWN.  DISCONNECT  CPDLC.  CONTINUE  ON  VOICE,R,
UM  169ap,Instruction  for  intermediary  CPDLC-capable  aircraft  to  relay  message  to  aircraft  not  in  communication with ATC.,RELAY  TO  [call  sign]  [unit  name] [text of message to be  relayed],"R, then  DM 67ae",
UM  169aq,Notification  that  MARSA  procedures  with  the specified aircraft have been terminated.,MARSA  TERMINATED  WITH  [call  sign(s)  of  receiver aircraft],R,
UM  169ar,,CLEARED  TO  DELAY  FOR  AIR  REFUEL  AT  [position] UNTIL [time],R,
UM  169as,,CLEARED  TO  CONDUCT  REFUELING,R,
DM  67ad,"Request  for  a  tailored  arrival.    The  TA  designator and speed are optional.  Note 1.— No equivalent in ICAO Doc 4444.  Note  2.—  When  pre-formatting  of  the  downlink  message  is  not  available,  the  flight  crew  can  shorten  to: REQ TA [TA designator]",REQUEST  TAILORED  ARRIVAL  [TA  designator]  [speed]  or  REQ  TA  [TA  designator] [speed],N,
DM  67a,"Used with a vertical request, indicating an ITP  request  when  there  is  one  reference  aircraft  ahead.  Note 1.— No equivalent in ICAO Doc 4444.",ITP  [distance]  BEHIND  [aircraft identification],N,
DM  67r,"Used with a vertical request, indicating an ITP  request  when  there  is  one  reference  aircraft  behind.  Note 1.— No equivalent in ICAO Doc 4444.",ITP  [distance]  AHEAD  OF  [aircraft identification],N,
DM  67s,"Used with a vertical request, indicating an ITP  request  when  there  are  two  reference  aircraft,  both ahead.  Note 1.— No equivalent in ICAO Doc 4444.",ITP [distance] BEHIND[aircraft  identification]  AND  [distance]  BEHIND  [aircraft  identification],N,
DM  67t,"Used with a vertical request, indicating an ITP  request  when  there  are  two  reference  aircraft,  both behind.  Note 1.— No equivalent in ICAO Doc 4444.",ITP  [distance]  AHEAD  OF  [aircraft  identification]  AND  [distance] AHEAD OF [aircraft  identification],N,
DM  67ag,"Used with a vertical request, indicating an ITP  request  when  there  are  two  reference  aircraft,  one ahead and the other behind.  Note 1.— No equivalent in ICAO Doc 4444.",ITP  [distance]  BEHIND  [aircraft  identification]  AND  [distance] AHEAD OF [aircraft  identification],N,
DM  67k,Notification  of  a  revised  estimate  for  the  specified position.  Note.— Intent similar to DM 43.,REVISED  ETA  [position]  [time],N,
DM  67l,"Notification of the ground speed.  Note  1.—  Intent  partial  to  ICAO  Doc  4444  DM 113.  Note  2.—  When  pre-formatting  of  the  downlink  message  is  not  available,  the  flight  crew  can  shorten  to: GS [speed]",GROUND  SPEED  [speed]  or  GS [speed],N,
DM  67m,"Notification of the preferred level.  Note 1.— Same intent as ICAO Doc 4444 DM  106.  Note  2.—  When  pre-formatting  of  the  downlink  message  is  not  available,  the  flight  crew  can  shorten  to: FL[altitude]",PREFERRED  LEVEL  [level]  or FL [altitude],N,
DM  67n,"Notification of estimated time of arrival at the  specified position.  Note 1.— Same intent as ICAO Doc 4444 DM  104.  Note  2.—  When  pre-formatting  of  the  downlink  message  is  not  available,  the  flight  crew  can  shorten  to: [position] [time]",ETA  [position]  [time]  or  [position] [time],N,
DM  67o,Notification  that  the  flight  crew  has  visually  sighted and passed the specified traffic.  Note.— No equivalent in ICAO Doc 4444.,[traffic  identification]  SIGHTED AND PASSED,N,
DM  67p,Notification  that  the  flight  crew  did  NOT  visually sight the specified traffic.  Note.— No equivalent in ICAO Doc 4444.,[traffic  identification]  NOT  SIGHTED,N,
DM  67q,Notification  that  the  previously  described  traffic has been sighted.  Note.— No equivalent in ICAO Doc 4444.,TRAFFIC SIGHTED,N,
DM  67v,"Notification  of  the  preferred  time  to  commence descent for an approach.  Note 1.— Same intent as ICAO Doc 4444 DM  109.  Note  2.—  When  pre-formatting  of  the  downlink  message  is  not  available,  the  flight  crew  can  shorten  to: TOD [time]",TOP  OF  DESCENT  [time]  or  TOD [time],N,
DM  67aa,"The  specified  ATSU  is  being  monitored  on  the specified frequency.  Urgent urgency attribute.  Note  1.—  Airborne  automation  (i.e.  preformatted  message  rather  than  the  flight  crew  typing  the  text)  may  be  necessary  for  message  composition  and  to  ensure  accuracy  of the message content.  Consequently, not all  aircraft  will  be  equipped  with  such  automation.  Note 2.— Same intent as ICAO Doc 4444 DM  89.",MONITORING  [unit  name]  [frequency],N,
DM  67u  or  DM  98u,Notification that the delivery time of an uplink  message exceeded the maximum permitted by  the latency timer.  The uplink message should  be re-sent or communicated by other means.  Note.— No equivalent in ICAO Doc 4444.,UPLINK  DELAYED  IN  NETWORK  AND  REJECTED  - RESEND OR CONTACT BY  VOICE,N,
DM  67j,Notification  that  the  transfer  of  the  CPDLC  connection has failed.  Note.— No equivalent in ICAO Doc 4444.,CPDLC  TRANSFER  FAILURE,N,
DM  67ab,Notification that the ADS-C emergency mode  was inadvertent and has been set to OFF.  Note.— No equivalent in ICAO Doc 4444.,ADS-C RESET,N,
DM  67ae,Notification  from  the  intermediary  CPDLC- capable  aircraft  that  the  aircraft  not  in  communication received the instructions.,RELAY  FROM  [call  sign]  [response parameters],N,
DM  67af,Notification that the aircraft does not have the  functionality of a message latency monitor.  Note 1.— No equivalent in ICAO Doc 4444.  Note  2.—  Response  to  free  text  UM  169au  CONFIRM MAX UPLINK DELAY VALUE IS  NOT  SET  or  UM  169w  SET  MAX  UPLINK  DELAY  VALUE  TO  [delayed  message  parameter] SECONDS.,TIMER NOT AVAILABLE,N,
DM  67ac,"Used  with  DM  27,  indicating  a  request  for  a  weather deviation on both sides of route.",AND  [specified  distance]  [direction],N,
DM  67b,We  can  accept  the  specified  level  at  the  specified time.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 81.,WE  CAN  ACCEPT  [altitude]  AT [time],N,
DM  67c,We  can  accept  the  specified  speed  at  the  specified time.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 83.,WE CAN ACCEPT [speed] AT  [time],N,
DM  67d,We  can  accept  a  parallel  track  offset  the  specified distance in the specified direction at  the specified time.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 85.,WE  CAN  ACCEPT  [specified  distance] [direction] AT [time],N,
DM  67e,We cannot accept the specified level.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 82.,WE  CANNOT  ACCEPT  [altitude],N,
DM  67f,We cannot accept the specified speed.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 84.,WE  CANNOT  ACCEPT  [speed],N,
DM  67g,We  cannot  accept  a  parallel  track  offset  the  specified distance in the specified direction.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 86.,WE  CANNOT  ACCEPT  [specified distance] [direction],N,
DM  67h,Request  for  the  earliest  time  at  which  a  clearance to climb to the specified level can be  expected.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 87.,WHEN  CAN  WE  EXPECT  CLIMB TO [altitude],N,
DM  67i,Request  for  the  earliest  time  at  which  a  clearance to descend to the specified level can  be expected.  Note.—  Intent  equivalent  to  ICAO  Doc  4444  DM 88.,WHEN  CAN  WE  EXPECT  DESCENT TO [altitude],N,
DM  67w,Request  for  a  delay  at  the  specified  position  until  a  specified  time  to  rendezvous  with  the  receiver aircraft.  Note  1.—  [position]  is  the  ARCP  as  filed  in  the tanker’s flight plan.  [time] is the time the  tanker  expects  to  pass  the  ARCP  and  commence refueling along the refueling route.   It is also the end of the delay time.  Note 2.— No equivalent in ICAO Doc 4444.,TO  DELAY  FOR  AIR  REFUEL AT [position] UNTIL  [time],N,
DM  67x,Notification  that  refueling  will  end  at  the  specified time or position.  Note.— No equivalent in ICAO Doc 4444.,EXPECT  END  OF  REFUEL  AT [time/position],N,
DM  67y,Notification  that  the  aircraft  will  be  joining  the specified ALTRV at the specified position  or time.  Note.— No equivalent in ICAO Doc 4444.,JOINING  ALTRV  [ALTRV  designator] AT [time/position],N,
DM  67z,Notification  that  the  tanker  will  accept  MARSA with the specified (receiver) aircraft.  Note.— No equivalent in ICAO Doc 4444.,ACCEPT  MARSA  WITH  [call  sign(s) of receiver aircraft],N,
